i,range_m
0,0.43375
1,0.43375
2,0.43675
3,0.43900
4,0.44250
5,0.44250
6,0.44650
7,0.44975
8,0.44975
9,0.45400
10,0.45875
11,0.46300
12,0.46750
13,0.46750
14,0.47175
15,0.47700
16,0.47700
17,0.48225
18,0.48675
19,0.48675
20,0.49225
21,0.49775
22,0.50375
23,0.50375
24,0.50875
25,0.51400
26,0.51400
27,0.52000
28,0.52550
29,0.53275
30,0.53275
31,0.54000
32,0.54750
33,0.54750
34,0.55500
35,0.56250
36,0.57175
37,0.57175
38,0.58175
39,0.59050
40,0.59050
41,0.60000
42,0.60975
43,0.62025
44,0.62025
45,0.63100
46,0.64125
47,0.64125
48,0.65175
49,0.66300
50,0.67475
51,0.67475
52,0.68750
53,0.70050
54,0.70050
55,0.71375
56,0.72725
57,0.72725
58,0.74025
59,0.75475
60,0.77225
61,0.77225
62,0.79000
63,0.80750
64,0.80750
65,0.82550
66,0.84375
67,0.86225
68,0.86225
69,0.88075
70,0.89900
71,0.89900
72,0.91975
73,0.94600
74,-1.00000
75,-1.00000
76,-1.00000
77,-1.00000
78,-1.00000
79,-1.00000
80,-1.00000
81,-1.00000
82,-1.00000
83,-1.00000
84,-1.00000
85,1.30425
86,1.30425
87,1.30150
88,1.30150
89,1.28425
90,-1.00000
91,-1.00000
92,-1.00000
93,-1.00000
94,-1.00000
95,-1.00000
96,1.93400
97,1.93400
98,1.94000
99,1.94000
100,1.94250
101,1.94800
102,1.94800
103,1.95850
104,1.96800
105,1.97900
106,1.97900
107,1.98800
108,1.99950
109,1.99950
110,2.01350
111,2.02500
112,2.03650
113,2.03650
114,2.04400
115,2.05300
116,2.05300
117,2.06350
118,2.06400
119,2.06950
120,2.06950
121,-1.00000
122,1.79475
123,1.79475
124,-1.00000
125,1.68875
126,1.68875
127,1.64175
128,1.60450
129,1.59050
130,1.59050
131,1.58850
132,1.56650
133,1.56650
134,1.53300
135,1.51200
136,-1.00000
137,1.57800
138,1.57800
139,1.59900
140,1.59900
141,1.61300
142,1.61375
143,1.60825
144,1.60825
145,1.61100
146,1.61750
147,1.61750
148,1.62925
149,1.64375
150,1.64375
151,1.66400
152,1.66400
153,-1.00000
154,2.47850
155,2.47850
156,2.50250
157,-1.00000
158,-1.00000
159,-1.00000
160,-1.00000
161,1.35850
162,1.35850
163,1.37050
164,1.37050
165,-1.00000
166,-1.00000
167,-1.00000
168,-1.00000
169,-1.00000
170,-1.00000
171,2.87200
172,2.87200
173,2.93200
174,2.98600
175,2.98600
176,3.01700
177,3.04450
178,3.04450
179,-1.00000
180,-1.00000
181,-1.00000
182,2.94250
183,2.94250
184,2.93800
185,2.93800
186,2.95000
187,2.97150
188,-1.00000
189,2.08150
190,2.08150
191,2.04400
192,2.04400
193,-1.00000
194,-1.00000
195,0.54575
196,0.54575
197,-1.00000
198,1.85625
199,1.85625
200,1.87600
201,1.90100
202,1.90325
203,1.90325
204,1.89825
205,-1.00000
206,0.74200
207,0.74200
208,-1.00000
209,1.40950
210,1.40950
211,1.42100
212,1.43400
213,1.43400
214,1.44950
215,1.46650
216,1.46650
217,1.48350
218,1.49825
219,1.51600
220,1.51600
221,1.52775
222,1.53950
223,1.53950
224,0.96125
225,0.96125
226,0.94175
227,0.94175
228,0.92700
229,0.91325
230,0.91325
231,0.90525
232,0.89800
233,0.89200
234,0.89200
235,0.88850
236,0.88300
237,0.88300
238,-1.00000
239,-1.00000
240,0.50250
241,0.50250
242,-1.00000
243,0.88100
244,0.88100
245,0.88100
246,0.88275
247,0.88275
248,0.88525
249,0.88800
250,0.89050
251,0.89050
252,0.89300
253,0.89800
254,0.89800
255,0.90550
256,-1.00000
257,-1.00000
258,1.30800
259,1.30800
260,1.28850
261,1.28850
262,1.26700
263,1.24700
264,1.22100
265,1.22100
266,-1.00000
267,1.00800
268,1.00800
269,0.98575
270,0.96775
271,0.95200
272,0.95200
273,0.93500
274,0.91900
275,0.91900
276,0.90550
277,0.89350
278,0.88200
279,0.88200
280,0.86800
281,0.85300
282,0.85300
283,0.84600
284,0.84650
285,0.84650
286,0.85100
287,0.85750
288,0.86350
289,0.86350
290,0.86900
291,0.87300
292,0.87300
293,0.87650
294,0.88250
295,0.88700
296,0.88700
297,0.90100
298,-1.00000
299,7.03500
300,7.03500
301,7.03850
302,7.03850
303,0.88050
304,0.88050
305,0.86600
306,0.86600
307,-1.00000
308,-1.00000
309,0.38425
310,0.38425
311,0.38425
312,0.38425
313,0.38425
314,-1.00000
315,-1.00000
316,-1.00000
317,-1.00000
318,-1.00000
319,-1.00000
320,-1.00000
321,-1.00000
322,-1.00000
323,-1.00000
324,-1.00000
325,-1.00000
326,-1.00000
327,-1.00000
328,-1.00000
329,-1.00000
330,-1.00000
331,-1.00000
332,-1.00000
333,-1.00000
334,-1.00000
335,-1.00000
336,-1.00000
337,-1.00000
338,-1.00000
339,-1.00000
340,-1.00000
341,-1.00000
342,-1.00000
343,-1.00000
344,-1.00000
345,-1.00000
346,-1.00000
347,-1.00000
348,-1.00000
349,-1.00000
350,-1.00000
351,-1.00000
352,-1.00000
353,-1.00000
354,-1.00000
355,-1.00000
356,-1.00000
357,-1.00000
358,-1.00000
359,-1.00000
360,-1.00000
361,-1.00000
362,-1.00000
363,-1.00000
364,-1.00000
365,-1.00000
366,-1.00000
367,-1.00000
368,-1.00000
369,-1.00000
370,-1.00000
371,-1.00000
372,-1.00000
373,-1.00000
374,-1.00000
375,-1.00000
376,-1.00000
377,-1.00000
378,-1.00000
379,-1.00000
380,-1.00000
381,-1.00000
382,-1.00000
383,-1.00000
384,-1.00000
385,-1.00000
386,-1.00000
387,-1.00000
388,-1.00000
389,-1.00000
390,-1.00000
391,-1.00000
392,-1.00000
393,-1.00000
394,-1.00000
395,-1.00000
396,-1.00000
397,-1.00000
398,-1.00000
399,-1.00000
400,-1.00000
401,-1.00000
402,-1.00000
403,-1.00000
404,-1.00000
405,-1.00000
406,-1.00000
407,-1.00000
408,-1.00000
409,-1.00000
410,-1.00000
411,-1.00000
412,-1.00000
413,0.66575
414,0.66575
415,0.65350
416,0.65350
417,0.63775
418,0.62450
419,0.62450
420,0.62000
421,0.61725
422,0.61500
423,0.61500
424,0.61450
425,-1.00000
426,-1.00000
427,-1.00000
428,-1.00000
429,-1.00000
430,-1.00000
431,-1.00000
432,0.10450
433,0.10450
434,0.10625
435,-1.00000
436,0.11275
437,0.11275
438,0.11100
439,0.11100
440,0.10875
441,-1.00000
442,-1.00000
443,-1.00000
444,-1.00000
445,0.83250
446,0.83250
447,0.82725
448,0.82400
449,0.82150
450,0.82150
451,0.81475
452,-1.00000
453,-1.00000
454,-1.00000
455,0.52900
456,0.52900
457,0.80900
458,0.80900
459,0.80550
460,0.80550
461,0.79625
462,-1.00000
463,0.49375
464,0.49375
465,-1.00000
466,0.80675
467,0.80675
468,0.79925
469,0.79775
470,0.79775
471,0.79675
472,0.79625
473,0.79550
474,0.79550
475,0.79500
476,0.79525
477,0.79525
478,0.79525
479,0.79450
480,0.79450
481,0.79425
482,0.79350
483,0.79350
484,-1.00000
485,-1.00000
486,0.79575
487,0.79575
488,0.79775
489,0.79750
490,0.79800
491,0.79800
492,0.79950
493,0.80125
494,0.80125
495,0.80225
496,0.80325
497,0.80525
498,0.80525
499,0.80625
500,0.80800
501,0.80800
502,0.81075
503,0.81325
504,0.81325
505,0.81550
506,0.81700
507,0.81825
508,0.81825
509,0.82050
510,0.82375
511,0.82775
512,0.82775
513,0.83175
514,0.83475
515,0.83475
516,0.83700
517,0.84000
518,0.84000
519,0.84250
520,0.84075
521,-1.00000
522,-1.00000
523,0.73250
524,0.73250
525,0.74850
526,0.74850
527,0.75775
528,-1.00000
529,0.87250
530,0.87250
531,0.85575
532,0.83400
533,0.83400
534,0.81375
535,0.79325
536,0.79325
537,0.77300
538,0.75550
539,0.73975
540,0.73975
541,0.72475
542,0.71125
543,0.71125
544,0.69800
545,0.68500
546,0.68500
547,0.67200
548,0.65975
549,0.64975
550,0.64975
551,0.63875
552,0.62700
553,0.62700
554,0.61625
555,0.60700
556,0.59750
557,0.59750
558,0.58725
559,0.57875
560,0.57875
561,0.57100
562,0.56225
563,0.55375
564,0.55375
565,0.54600
566,0.53775
567,0.53775
568,0.52975
569,0.52300
570,0.52300
571,0.51800
572,0.51250
573,0.50475
574,0.50475
575,0.49750
576,0.49250
577,0.49250
578,0.48750
579,0.48100
580,0.47625
581,0.47625
582,0.47225
583,0.46675
584,0.46675
585,0.46275
586,0.45950
587,0.45475
588,0.45475
589,0.45000
590,0.44500
591,0.44500
592,0.44125
593,0.43875
594,0.43525
595,0.43525
596,0.43200
597,0.42850
598,0.42850
599,0.42475
600,0.42150
601,0.42150
602,0.41825
603,0.41600
604,0.41350
605,0.41350
606,0.41075
607,0.40950
608,0.40950
609,0.40650
610,0.40300
611,0.40150
612,0.40150
613,0.40050
614,0.40000
615,0.40000
616,0.39750
617,0.39300
618,0.39125
619,0.39125
620,0.39075
621,0.38950
622,0.38950
623,0.38875
624,0.38625
625,0.38625
626,0.38400
627,0.38375
628,0.38375
629,0.38275
630,0.38100
631,0.38000
632,0.38000
633,0.37875
634,0.37675
635,0.37675
636,0.37600
637,0.37525
638,0.37375
639,0.37375
640,0.37300
641,0.37250
642,0.37250
643,0.37200
644,0.37175
645,0.37150
646,0.37150
647,0.37100
648,0.37050
649,0.37050
650,0.37000
651,0.36975
652,0.36850
653,0.36850
654,0.36800
655,0.36800
656,0.36925
657,0.36950
658,0.36825
659,0.36775
660,0.36900
661,0.36900
662,0.36950
663,0.36800
664,0.36800
665,0.36800
666,0.37050
667,0.37050
668,0.37175
669,0.37125
670,0.37200
671,0.37200
672,0.37275
673,0.37400
674,0.37400
675,0.37450
676,0.37375
677,0.37375
678,0.37425
679,0.37550
680,0.37600
681,0.37600
682,0.37700
683,0.37800
684,0.37800
685,0.37850
686,0.38025
687,0.38225
688,0.38225
689,0.38400
690,0.38550
691,0.38550
692,0.38625
693,0.38725
694,0.38925
695,0.38925
696,0.39125
697,0.39275
698,0.39275
699,0.39500
700,0.39500
701,0.39600
702,0.39800
703,0.40000
704,0.40000
705,0.40150
706,0.40450
707,0.40450
708,0.40750
709,0.41050
710,0.41250
711,0.41250
712,0.41450
713,0.41750
714,0.41750
715,0.42000
716,0.42300
717,0.42650
718,0.42650
719,0.43000
