i,range_m
0,0.43200
1,0.43450
2,0.43750
3,-1.00000
4,-1.00000
5,-1.00000
6,-1.00000
7,0.45125
8,0.45125
9,0.45450
10,0.45950
11,0.46350
12,0.46350
13,0.46750
14,0.47200
15,0.47750
16,0.47750
17,0.48300
18,0.48800
19,0.48800
20,0.49400
21,0.49850
22,0.49850
23,0.50325
24,0.50950
25,0.51525
26,0.51525
27,0.52000
28,0.52550
29,0.53350
30,0.53350
31,0.54050
32,0.54800
33,0.54800
34,0.55550
35,0.56450
36,0.56450
37,0.57450
38,0.58200
39,0.59150
40,0.59150
41,0.60150
42,0.61100
43,0.61100
44,0.62150
45,0.63250
46,0.64250
47,0.64250
48,0.65250
49,0.66500
50,0.66500
51,0.67750
52,0.68950
53,0.68950
54,0.70200
55,0.71500
56,0.72800
57,0.72800
58,0.74150
59,0.75750
60,0.75750
61,0.77500
62,0.79225
63,0.80925
64,0.80925
65,0.82750
66,0.84600
67,0.84600
68,0.86600
69,0.88475
70,0.90175
71,0.90175
72,0.92300
73,0.94900
74,0.94900
75,1.01350
76,1.01350
77,-1.00000
78,-1.00000
79,-1.00000
80,-1.00000
81,-1.00000
82,-1.00000
83,-1.00000
84,-1.00000
85,1.30275
86,1.30275
87,1.29550
88,1.29550
89,1.28325
90,-1.00000
91,-1.00000
92,-1.00000
93,-1.00000
94,-1.00000
95,-1.00000
96,-1.00000
97,1.94250
98,1.94250
99,1.94950
100,1.95775
101,1.96425
102,1.96425
103,1.97150
104,1.98200
105,1.98200
106,1.99475
107,2.00625
108,2.01850
109,2.01850
110,2.03200
111,2.04650
112,2.04650
113,2.05900
114,2.06550
115,2.07350
116,2.07350
117,2.08000
118,2.08800
119,2.08800
120,2.09850
121,-1.00000
122,1.78950
123,1.78950
124,-1.00000
125,1.68450
126,1.68450
127,1.63675
128,1.60225
129,1.60225
130,1.59125
131,1.58850
132,1.56875
133,1.56875
134,1.53600
135,1.51425
136,1.51425
137,1.58150
138,1.58150
139,1.60250
140,1.60250
141,1.61625
142,1.61475
143,1.61475
144,1.61000
145,1.61200
146,1.61925
147,1.61925
148,1.63225
149,1.64550
150,1.64550
151,1.66475
152,1.66225
153,-1.00000
154,2.49500
155,2.49500
156,2.51375
157,2.51375
158,-1.00000
159,-1.00000
160,-1.00000
161,1.36400
162,1.36400
163,1.37000
164,1.37000
165,-1.00000
166,-1.00000
167,-1.00000
168,-1.00000
169,-1.00000
170,-1.00000
171,2.88325
172,2.88325
173,2.94650
174,2.94650
175,2.98900
176,3.01100
177,3.04675
178,3.04675
179,-1.00000
180,-1.00000
181,-1.00000
182,2.93525
183,2.93525
184,2.93775
185,2.93775
186,2.95100
187,2.97525
188,2.97525
189,2.07850
190,2.07850
191,2.03925
192,2.03925
193,-1.00000
194,-1.00000
195,0.54375
196,0.54375
197,-1.00000
198,1.85675
199,1.85675
200,1.88425
201,1.90250
202,1.90250
203,1.90050
204,1.90025
205,1.90025
206,0.74500
207,0.74500
208,-1.00000
209,1.40950
210,1.40950
211,1.42525
212,1.43625
213,1.43625
214,1.45150
215,1.46500
216,1.46500
217,1.47900
218,1.49525
219,1.49525
220,1.51475
221,1.53400
222,1.54550
223,1.54550
224,-1.00000
225,0.95400
226,0.95400
227,0.93950
228,0.92550
229,0.91175
230,0.91175
231,0.90300
232,0.89800
233,0.89800
234,0.89350
235,0.88900
236,0.88100
237,0.88100
238,-1.00000
239,-1.00000
240,0.50650
241,0.50650
242,-1.00000
243,0.88000
244,0.88000
245,0.87950
246,0.88100
247,0.88100
248,0.88350
249,-1.00000
250,-1.00000
251,0.17400
252,0.17400
253,0.17550
254,0.17550
255,0.17600
256,0.17500
257,0.17500
258,0.17300
259,0.17200
260,0.17150
261,0.17150
262,0.17250
263,-1.00000
264,-1.00000
265,-1.00000
266,-1.00000
267,0.99500
268,0.99500
269,0.98100
270,0.96300
271,0.96300
272,0.94500
273,0.92700
274,0.91150
275,0.91150
276,0.89850
277,0.88850
278,0.88850
279,0.87850
280,0.86650
281,0.86650
282,0.85250
283,0.84300
284,0.84450
285,0.84450
286,0.84950
287,0.85500
288,0.85500
289,0.86150
290,0.86750
291,0.87050
292,0.87050
293,0.87400
294,0.87900
295,0.87900
296,0.88000
297,-1.00000
298,7.03325
299,7.03325
300,7.03800
301,7.04025
302,7.04025
303,-1.00000
304,0.87400
305,0.87400
306,0.86550
307,-1.00000
308,0.39000
309,0.39000
310,0.38500
311,0.38475
312,0.38475
313,0.38450
314,-1.00000
315,-1.00000
316,-1.00000
317,-1.00000
318,-1.00000
319,-1.00000
320,-1.00000
321,-1.00000
322,-1.00000
323,-1.00000
324,-1.00000
325,-1.00000
326,-1.00000
327,-1.00000
328,-1.00000
329,-1.00000
330,-1.00000
331,-1.00000
332,-1.00000
333,-1.00000
334,-1.00000
335,-1.00000
336,-1.00000
337,-1.00000
338,-1.00000
339,-1.00000
340,-1.00000
341,-1.00000
342,-1.00000
343,-1.00000
344,-1.00000
345,-1.00000
346,-1.00000
347,-1.00000
348,-1.00000
349,-1.00000
350,-1.00000
351,-1.00000
352,-1.00000
353,-1.00000
354,-1.00000
355,-1.00000
356,-1.00000
357,-1.00000
358,-1.00000
359,-1.00000
360,-1.00000
361,-1.00000
362,-1.00000
363,-1.00000
364,-1.00000
365,-1.00000
366,-1.00000
367,-1.00000
368,-1.00000
369,-1.00000
370,-1.00000
371,-1.00000
372,-1.00000
373,-1.00000
374,-1.00000
375,-1.00000
376,-1.00000
377,-1.00000
378,-1.00000
379,-1.00000
380,-1.00000
381,-1.00000
382,-1.00000
383,-1.00000
384,-1.00000
385,-1.00000
386,-1.00000
387,-1.00000
388,-1.00000
389,-1.00000
390,-1.00000
391,-1.00000
392,-1.00000
393,-1.00000
394,-1.00000
395,-1.00000
396,-1.00000
397,-1.00000
398,-1.00000
399,-1.00000
400,-1.00000
401,-1.00000
402,-1.00000
403,-1.00000
404,-1.00000
405,-1.00000
406,-1.00000
407,-1.00000
408,-1.00000
409,-1.00000
410,-1.00000
411,-1.00000
412,-1.00000
413,-1.00000
414,0.66575
415,0.66575
416,0.65125
417,0.63500
418,0.63500
419,0.62275
420,0.61975
421,0.61700
422,0.61700
423,0.61400
424,-1.00000
425,-1.00000
426,-1.00000
427,-1.00000
428,-1.00000
429,-1.00000
430,-1.00000
431,-1.00000
432,-1.00000
433,-1.00000
434,0.10800
435,0.10800
436,0.10950
437,0.11000
438,0.10875
439,0.10875
440,-1.00000
441,-1.00000
442,-1.00000
443,-1.00000
444,-1.00000
445,0.83175
446,0.83175
447,0.82700
448,0.82500
449,0.82500
450,0.82000
451,0.81050
452,0.81050
453,-1.00000
454,-1.00000
455,0.52675
456,0.52675
457,-1.00000
458,0.80850
459,0.80850
460,0.80425
461,-1.00000
462,0.50425
463,0.50425
464,0.49175
465,-1.00000
466,0.80100
467,0.80100
468,0.79800
469,0.79800
470,0.79650
471,0.79700
472,0.79650
473,0.79650
474,0.79575
475,0.79475
476,0.79525
477,0.79525
478,0.79550
479,0.79475
480,0.79475
481,0.79475
482,0.79150
483,0.79150
484,0.77650
485,-1.00000
486,0.79575
487,0.79575
488,0.79700
489,0.79750
490,0.79750
491,0.79850
492,0.79975
493,0.79975
494,0.80100
495,0.80250
496,0.80450
497,0.80450
498,0.80625
499,0.80800
500,0.80800
501,0.81000
502,0.81125
503,0.81325
504,0.81325
505,0.81550
506,0.81725
507,0.81725
508,0.82000
509,0.82175
510,0.82175
511,0.82400
512,0.82750
513,0.83050
514,0.83050
515,0.83400
516,0.83750
517,0.84125
518,0.84125
519,0.84350
520,0.84200
521,0.84200
522,0.72900
523,0.72900
524,-1.00000
525,0.76700
526,0.76700
527,0.76650
528,0.76650
529,0.87075
530,0.87075
531,0.84975
532,0.84975
533,0.82800
534,0.80700
535,0.80700
536,0.78775
537,0.76925
538,0.75250
539,0.75250
540,0.73600
541,0.72075
542,0.72075
543,0.70725
544,0.69375
545,0.69375
546,0.68125
547,0.66875
548,0.65700
549,0.65700
550,0.64575
551,0.63450
552,0.63450
553,0.62350
554,0.61400
555,0.60450
556,0.60450
557,0.59400
558,0.58400
559,0.58400
560,0.57625
561,0.56750
562,0.55850
563,0.55850
564,0.55075
565,0.54325
566,0.54325
567,0.53625
568,0.52875
569,0.52875
570,0.52275
571,0.51700
572,0.51025
573,0.51025
574,0.50350
575,0.49725
576,0.49725
577,0.49250
578,0.48550
579,0.47950
580,0.47950
581,0.47575
582,0.47075
583,0.47075
584,0.46575
585,0.46175
586,0.45800
587,0.45800
588,0.45400
589,0.44975
590,0.44975
591,0.44625
592,0.44200
593,0.43775
594,0.43775
595,0.43450
596,0.43075
597,0.43075
598,0.42750
599,0.42500
600,0.42500
601,0.42125
602,0.41725
603,0.41550
604,0.41550
605,0.41325
606,0.41075
607,0.41075
608,0.40825
609,0.40500
610,0.40350
611,0.40350
612,0.40200
613,0.40000
614,0.40000
615,0.39775
616,0.39475
617,0.39475
618,0.39325
619,0.39125
620,0.38875
621,0.38875
622,0.38725
623,0.38600
624,0.38500
625,0.38500
626,0.38500
627,0.38400
628,0.38400
629,0.38150
630,0.38000
631,0.38000
632,0.38000
633,0.37850
634,0.37850
635,0.37600
636,0.37450
637,0.37425
638,0.37425
639,0.37325
640,0.37200
641,0.37200
642,0.37175
643,0.37175
644,0.37100
645,0.37100
646,0.37000
647,0.36900
648,0.36900
649,0.36900
650,0.36925
651,0.36875
652,0.36875
653,0.36800
654,0.36775
655,0.36775
656,0.36800
657,0.36750
658,0.36750
659,0.36800
660,0.36900
661,0.36850
662,0.36825
663,0.36825
664,0.36925
665,0.37000
666,0.37000
667,0.37000
668,0.37025
669,0.37125
670,0.37125
671,0.37125
672,0.37150
673,0.37150
674,0.37275
675,0.37375
676,0.37375
677,0.37450
678,0.37525
679,0.37600
680,0.37600
681,0.37600
682,0.37650
683,0.37650
684,0.37850
685,0.38000
686,0.38150
687,0.38150
688,0.38350
689,0.38425
690,0.38525
691,0.38525
692,0.38600
693,0.38825
694,0.38825
695,0.39000
696,0.39000
697,0.39100
698,0.39300
699,0.39300
700,0.39550
701,0.39750
702,0.39875
703,0.39875
704,0.40075
705,0.40275
706,0.40275
707,0.40500
708,0.40675
709,0.41025
710,0.41025
711,0.41400
712,0.41600
713,0.41600
714,0.41825
715,0.42100
716,0.42375
717,0.42375
718,0.42750
719,-1.00000
