x y
0.8119 -0.4749
0.8196 -0.4765
0.8267 -0.4752
0.8343 -0.4765
0.8421 -0.4781
0.8501 -0.4805
0.8572 -0.4788
0.8653 -0.4810
0.8730 -0.4817
0.8798 -0.4787
0.8869 -0.4768
0.8958 -0.4811
0.8765 -0.3649
0.8826 -0.3630
0.8939 -0.3773
0.9162 -0.4026
0.9227 -0.4004
0.9639 -0.4732
0.9710 -0.4706
0.9703 -0.4479
0.9692 -0.4252
0.9758 -0.4226
0.9747 -0.4014
0.9737 -0.3812
0.9799 -0.3785
0.9788 -0.3593
0.9778 -0.3411
0.9771 -0.3243
0.9829 -0.3216
0.9824 -0.3062
1.0337 0.3055
1.0347 0.3086
1.0355 0.3118
1.0359 0.3150
1.0358 0.3182
1.0360 0.3215
1.0363 0.3247
1.0379 0.3279
1.0380 0.3311
1.0385 0.3343
1.0395 0.3376
1.0400 0.3409
1.0399 0.3441
1.0403 0.3474
1.0402 0.3507
1.0401 0.3539
1.0399 0.3572
1.0407 0.3605
1.0405 0.3638
1.0407 0.3671
1.0397 0.3703
1.0394 0.3735
1.0390 0.3768
1.0404 0.3802
1.0415 0.3837
1.0410 0.3869
1.0416 0.3904
1.0433 0.3940
1.0428 0.3973
1.0452 0.4010
1.0458 0.4046
1.0462 0.4081
1.0456 0.4114
1.0459 0.4149
1.0461 0.4184
1.0454 0.4217
1.0466 0.4255
1.0473 0.4292
1.0464 0.4325
1.0470 0.4362
1.0485 0.4401
1.0476 0.4435
1.0486 0.4474
1.0490 0.4511
1.0480 0.4545
1.0508 0.4590
1.0521 0.4631
1.0514 0.4666
1.0502 0.4700
1.0514 0.4742
1.0535 0.4788
1.0546 0.4830
1.0533 0.4864
1.0542 0.4907
1.0557 0.4952
1.0542 0.4986
1.0546 0.5028
1.0555 0.5072
1.0540 0.5105
1.0560 0.5156
