delta err_mm
-45 -0.852
-40 -1.337
-35 -1.282
-30 -0.606
-25 -0.359
-20 -0.609
-15 -0.776
-10 -0.767
-5 -0.675
0 -0.505
5 -1.227
10 -1.231
15 -1.382
20 -0.595
25 +0.303
30 -0.803
35 -0.955
40 -1.386
45 +0.026
