delta err_mm
-45 +4.152
-40 -0.731
-35 -1.176
-30 -0.694
-25 +0.260
-20 -0.836
-15 -0.567
-10 -0.775
-5 -0.657
0 -1.233
5 -0.754
10 -1.079
15 -0.361
20 -0.580
25 -1.533
30 +2.013
35 -1.244
40 +0.192
45 -0.783
